L,R,D,U,測試次數,最多移動步數,掉落次數,掉落機率
16,40,21,35,10000,1000,7597,0.7597
66,165,91,140,10000,1000,7872,0.7872
34,85,49,70,10000,1000,8213,0.8213
2,5,3,4,10000,1000,8497,0.8497
18,45,28,35,10000,1000,8866,0.8866
74,185,119,140,10000,1000,9109,0.9109
38,95,63,70,10000,1000,9346,0.9346
78,195,133,140,10000,1000,9594,0.9594
189,420,29,580,10000,1000,4721,0.4721
99,220,29,290,10000,1000,5057,0.5057
207,460,87,580,10000,1000,5342,0.5342
54,120,29,145,10000,1000,5639,0.5639
45,100,29,116,10000,1000,5875,0.5875
117,260,87,290,10000,1000,6114,0.6114
243,540,203,580,10000,1000,6445,0.6445
63,140,58,145,10000,1000,6705,0.6705
9,20,9,20,10000,1000,6993,0.6993
27,60,29,58,10000,1000,7263,0.7263
279,620,319,580,10000,1000,7494,0.7494
72,160,87,145,10000,1000,7802,0.7802
297,660,377,580,10000,1000,8062,0.8062
153,340,203,290,10000,1000,8262,0.8262
63,140,87,116,10000,1000,8643,0.8643
81,180,116,145,10000,1000,8932,0.8932
333,740,493,580,10000,1000,9191,0.9191
171,380,261,290,10000,1000,9407,0.9407
351,780,551,580,10000,1000,9597,0.9597
7,14,1,20,10000,1000,5263,0.5263
11,22,3,30,10000,1000,5495,0.5495
23,46,9,60,10000,1000,5748,0.5748
2,4,1,5,10000,1000,6012,0.6012
5,10,3,12,10000,1000,6339,0.6339
13,26,9,30,10000,1000,6545,0.6545
9,18,7,20,10000,1000,6663,0.6663
7,14,6,15,10000,1000,6904,0.6904
29,58,27,60,10000,1000,7349,0.7349
1,2,1,2,10000,1000,7520,0.752
31,62,33,60,10000,1000,7844,0.7844
8,16,9,15,10000,1000,7970,0.797
11,22,13,20,10000,1000,8286,0.8286
17,34,21,30,10000,1000,8545,0.8545
7,14,9,12,10000,1000,8729,0.8729
3,6,4,5,10000,1000,9047,0.9047
37,74,51,60,10000,1000,9252,0.9252
19,38,27,30,10000,1000,9421,0.9421
13,26,19,20,10000,1000,9682,0.9682
231,420,31,620,10000,1000,5701,0.5701
121,220,31,310,10000,1000,6022,0.6022
253,460,93,620,10000,1000,6131,0.6131
66,120,31,155,10000,1000,6400,0.64
55,100,31,124,10000,1000,6682,0.6682
143,260,93,310,10000,1000,6840,0.684
297,540,217,620,10000,1000,7018,0.7018
77,140,62,155,10000,1000,7216,0.7216
319,580,279,620,10000,1000,7457,0.7457
33,60,31,62,10000,1000,7705,0.7705
11,20,11,20,10000,1000,8063,0.8063
