L,R,D,U,測試次數,最多移動步數,掉落次數,掉落機率
9,12,1,20,10000,10000,7660,0.766
33,44,7,70,10000,10000,7819,0.7819
69,92,21,140,10000,10000,7880,0.788
18,24,7,35,10000,10000,8013,0.8013
15,20,7,28,10000,10000,8096,0.8096
39,52,21,70,10000,10000,8345,0.8345
81,108,49,140,10000,10000,8359,0.8359
3,4,2,5,10000,10000,8510,0.851
87,116,63,140,10000,10000,8660,0.866
9,12,7,14,10000,10000,8759,0.8759
93,124,77,140,10000,10000,8868,0.8868
24,32,21,35,10000,10000,8995,0.8995
99,132,91,140,10000,10000,9126,0.9126
51,68,49,70,10000,10000,9275,0.9275
3,4,3,4,10000,10000,9404,0.9404
27,36,28,35,10000,10000,9487,0.9487
111,148,119,140,10000,10000,9599,0.9599
57,76,63,70,10000,10000,9781,0.9781
117,156,133,140,10000,10000,9864,0.9864
28,35,3,60,10000,10000,8037,0.8037
44,55,9,90,10000,10000,8175,0.8175
92,115,27,180,10000,10000,8296,0.8296
8,10,3,15,10000,10000,8425,0.8425
20,25,9,36,10000,10000,8447,0.8447
52,65,27,90,10000,10000,8580,0.858
12,15,7,20,10000,10000,8677,0.8677
28,35,18,45,10000,10000,8802,0.8802
116,145,81,180,10000,10000,8904,0.8904
4,5,3,6,10000,10000,9008,0.9008
124,155,99,180,10000,10000,9102,0.9102
32,40,27,45,10000,10000,9207,0.9207
44,55,39,60,10000,10000,9285,0.9285
68,85,63,90,10000,10000,9394,0.9394
28,35,27,36,10000,10000,9480,0.948
4,5,4,5,10000,10000,9611,0.9611
148,185,153,180,10000,10000,9712,0.9712
76,95,81,90,10000,10000,9771,0.9771
52,65,57,60,10000,10000,9896,0.9896
357,420,37,740,10000,10000,8569,0.8569
187,220,37,370,10000,10000,8589,0.8589
391,460,111,740,10000,10000,8777,0.8777
102,120,37,185,10000,10000,8782,0.8782
85,100,37,148,10000,10000,8842,0.8842
221,260,111,370,10000,10000,8947,0.8947
459,540,259,740,10000,10000,9062,0.9062
119,140,74,185,10000,10000,9092,0.9092
493,580,333,740,10000,10000,9155,0.9155
51,60,37,74,10000,10000,9209,0.9209
527,620,407,740,10000,10000,9358,0.9358
136,160,111,185,10000,10000,9405,0.9405
561,660,481,740,10000,10000,9472,0.9472
289,340,259,370,10000,10000,9550,0.955
119,140,111,148,10000,10000,9627,0.9627
153,180,148,185,10000,10000,9688,0.9688
17,20,17,20,10000,10000,9775,0.9775
323,380,333,370,10000,10000,9858,0.9858
663,780,703,740,10000,10000,9923,0.9923
189,210,19,380,10000,10000,9071,0.9071
99,110,19,190,10000,10000,9121,0.9121
207,230,57,380,10000,10000,9148,0.9148
54,60,19,95,10000,10000,9191,0.9191
45,50,19,76,10000,10000,9238,0.9238
117,130,57,190,10000,10000,9309,0.9309
243,270,133,380,10000,10000,9328,0.9328
63,70,38,95,10000,10000,9415,0.9415
261,290,171,380,10000,10000,9449,0.9449
27,30,19,38,10000,10000,9482,0.9482
279,310,209,380,10000,10000,9596,0.9596
72,80,57,95,10000,10000,9613,0.9613
297,330,247,380,10000,10000,9653,0.9653
153,170,133,190,10000,10000,9671,0.9671
63,70,57,76,10000,10000,9731,0.9731
81,90,76,95,10000,10000,9800,0.98
333,370,323,380,10000,10000,9862,0.9862
9,10,9,10,10000,10000,9909,0.9909
351,390,361,380,10000,10000,9931,0.9931
133,140,13,260,10000,10000,9526,0.9526
209,220,39,390,10000,10000,9560,0.956
437,460,117,780,10000,10000,9541,0.9541
38,40,13,65,10000,10000,9571,0.9571
95,100,39,156,10000,10000,9623,0.9623
19,20,9,30,10000,10000,9632,0.9632
171,180,91,260,10000,10000,9658,0.9658
133,140,78,195,10000,10000,9681,0.9681
551,580,351,780,10000,10000,9718,0.9718
19,20,13,26,10000,10000,9760,0.976
589,620,429,780,10000,10000,9797,0.9797
152,160,117,195,10000,10000,9802,0.9802
209,220,169,260,10000,10000,9827,0.9827
323,340,273,390,10000,10000,9839,0.9839
133,140,117,156,10000,10000,9856,0.9856
57,60,52,65,10000,10000,9907,0.9907
703,740,663,780,10000,10000,9924,0.9924
361,380,351,390,10000,10000,9947,0.9947
19,20,19,20,10000,10000,9970,0.997
